Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Acinetobacter baumannii,470,cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter,190,0.115597,2.23872
Clostridium tetani,1513,cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium,58,0.0352875,0.683398
Coccidioides immitis,5501,cellular organisms;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Coccidioides,2551,1.55204,30.0577
Enterobacter cloacae,550,cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter,211,0.128374,2.48616
Escherichia coli,562,cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia,386,0.234845,4.54813
Giardia duodenalis,5741,cellular organisms;Fornicata;;Diplomonadida;Hexamitidae;Giardia,5,0.00304203,0.0589136
Haemophilus influenzae,727,cellular organisms;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus,51,0.0310287,0.600919
Helicobacter pylori,210,cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter,53,0.0322455,0.624485
Moraxella catarrhalis,480,cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella,81,0.0492809,0.954401
Mycobacterium tuberculosis,1773,cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium,59,0.0358959,0.695181
Orientia tsutsugamushi,784,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Orientia,1,0.000608406,0.0117827
Plasmodium falciparum,5833,cellular organisms;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium,4087,2.48655,48.156
Pseudomonas aeruginosa,287,cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,187,0.113772,2.20337
Staphylococcus aureus,1280,cellular organisms;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,76,0.0462388,0.895487
Streptococcus pneumoniae,1313,cellular organisms;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,36,0.0219026,0.424178
Vibrio cholerae,666,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio,455,0.276825,5.36114
UNKNOWN,UNKNOWN,UNKNOWN,155877,94.8365,-
