Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Plasmodium falciparum,5833,cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Laverania); Plasmodium falciparum,4087,2.486554,48.156003
Coccidioides immitis,5501,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Onygenales; Onygenaceae; Coccidioides; Coccidioides immitis,2551,1.552043,30.057735
Vibrio cholerae,666,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio cholerae,455,0.276825,5.361141
Escherichia coli,562,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,386,0.234845,4.548132
Enterobacter cloacae,550,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex; Enterobacter cloacae,211,0.128374,2.486155
Acinetobacter baumannii,470,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii,190,0.115597,2.238718
Pseudomonas aeruginosa,287,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa,187,0.113772,2.20337
Moraxella catarrhalis,480,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Moraxella; Moraxella catarrhalis,81,0.049281,0.954401
Staphylococcus aureus,1280,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,76,0.046239,0.895487
Mycobacterium tuberculosis,1773,cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex; Mycobacterium tuberculosis,59,0.035896,0.695181
Clostridium tetani,1513,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium tetani,58,0.035288,0.683398
Helicobacter pylori,210,cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter; Helicobacter pylori,53,0.032246,0.624485
Haemophilus influenzae,727,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; Haemophilus influenzae,51,0.031029,0.600919
Streptococcus pneumoniae,1313,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pneumoniae,36,0.021903,0.424178
Giardia intestinalis,5741,cellular organisms; Eukaryota; Metamonada; Fornicata; Diplomonadida; Hexamitidae; Giardiinae; Giardia; Giardia intestinalis,5,0.003042,0.058914
Orientia tsutsugamushi,784,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Rickettsiales; Rickettsiaceae; Rickettsieae; Orientia; Orientia tsutsugamushi,1,0.000608,0.011783
UNKNOWN,NA,,155877,94.836461,0
