Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Acinetobacter baumannii,470,cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter,717,0.114235,2.21399
Clostridium tetani,1513,cellular organisms;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium,222,0.0353697,0.685503
Coccidioides immitis,5501,cellular organisms;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Coccidioides,10049,1.60104,31.0298
Enterobacter cloacae,550,cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter,743,0.118377,2.29427
Escherichia coli,562,cellular organisms;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia,1582,0.252049,4.88498
Giardia duodenalis,5741,cellular organisms;Fornicata;;Diplomonadida;Hexamitidae;Giardia,18,0.00286782,0.0555813
Haemophilus influenzae,727,cellular organisms;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus,185,0.0294748,0.571252
Helicobacter pylori,210,cellular organisms;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter,193,0.0307494,0.595955
Moraxella catarrhalis,480,cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Moraxella,246,0.0391935,0.759611
Mycobacterium tuberculosis,1773,cellular organisms;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium,232,0.036963,0.716381
Orientia tsutsugamushi,784,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Orientia,6,0.000955939,0.0185271
Plasmodium falciparum,5833,cellular organisms;Apicomplexa;Aconoidasida;Haemosporida;Plasmodiidae;Plasmodium,15324,2.44147,47.3182
Pseudomonas aeruginosa,287,cellular organisms;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas,747,0.119014,2.30662
Staphylococcus aureus,1280,cellular organisms;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,288,0.0458851,0.889301
Streptococcus pneumoniae,1313,cellular organisms;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,109,0.0173662,0.336576
Vibrio cholerae,666,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;Vibrio,1724,0.274673,5.32345
UNKNOWN,UNKNOWN,UNKNOWN,595270,94.8403,-
