Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
halophilic eubacterium NRCC 41227,27,cellular organisms; Bacteria; unclassified Bacteria; halophilic eubacterium NRCC 41227,13288,3.104325,91.477351
root,1,,151,0.035276,1.039515
Bacteria,2,cellular organisms; Bacteria,124,0.028969,0.853642
Unknown (taxid 3),3,taxid_3,96,0.022427,0.660884
Unknown (taxid 4),4,taxid_4,87,0.020325,0.598926
Unknown (taxid 5),5,taxid_5,54,0.012615,0.371747
Azorhizobium,6,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Xanthobacteraceae; Azorhizobium,39,0.009111,0.268484
Azorhizobium caulinodans,7,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Xanthobacteraceae; Azorhizobium; Azorhizobium caulinodans,32,0.007476,0.220295
Unknown (taxid 8),8,taxid_8,23,0.005373,0.158337
Buchnera aphidicola,9,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Buchnera; Buchnera aphidicola,18,0.004205,0.123916
Cellvibrio,10,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Cellvibrionales; Cellvibrionaceae; Cellvibrio,13,0.003037,0.089495
Phenylobacterium,20,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium,10,0.002336,0.068842
Shewanella putrefaciens,24,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella; Shewanella putrefaciens,9,0.002103,0.061958
Unknown (taxid 15),15,taxid_15,8,0.001869,0.055074
Dictyoglomus,13,cellular organisms; Bacteria; Dictyoglomota; Dictyoglomia; Dictyoglomales; Dictyoglomaceae; Dictyoglomus,8,0.001869,0.055074
Phenylobacterium immobile,21,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium; Phenylobacterium immobile,7,0.001635,0.048189
Unknown (taxid 12),12,taxid_12,7,0.001635,0.048189
Myxococcaceae,31,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae,7,0.001635,0.048189
Stigmatella aurantiaca,41,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Stigmatella; Stigmatella aurantiaca,6,0.001402,0.041305
