Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
halophilic eubacterium NRCC 41227,27,cellular organisms; Bacteria; unclassified Bacteria; halophilic eubacterium NRCC 41227,4748,1.671272,91.132438
root,1,,70,0.02464,1.34357
Bacteria,2,cellular organisms; Bacteria,46,0.016192,0.882917
Unknown (taxid 3),3,taxid_3,43,0.015136,0.825336
Unknown (taxid 4),4,taxid_4,28,0.009856,0.537428
Unknown (taxid 5),5,taxid_5,18,0.006336,0.345489
Azorhizobium caulinodans,7,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Xanthobacteraceae; Azorhizobium; Azorhizobium caulinodans,13,0.004576,0.24952
Azorhizobium,6,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Xanthobacteraceae; Azorhizobium,11,0.003872,0.211132
Unknown (taxid 8),8,taxid_8,6,0.002112,0.115163
Buchnera aphidicola,9,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Buchnera; Buchnera aphidicola,5,0.00176,0.095969
Phenylobacterium,20,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium,5,0.00176,0.095969
Phenylobacterium immobile,21,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium; Phenylobacterium immobile,5,0.00176,0.095969
Shewanella,22,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Alteromonadales; Shewanellaceae; Shewanella,5,0.00176,0.095969
Stigmatella,40,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Archangiaceae; Stigmatella,4,0.001408,0.076775
Cellulomonas gilvus,11,cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Micrococcales; Cellulomonadaceae; Cellulomonas; Cellulomonas gilvus,4,0.001408,0.076775
Unknown (taxid 77),77,taxid_77,4,0.001408,0.076775
