Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Plasmodium falciparum,5833,cellular organisms; Eukaryota; Sar; Alveolata; Apicomplexa; Aconoidasida; Haemosporida; Plasmodiidae; Plasmodium; Plasmodium (Laverania); Plasmodium falciparum,6734,2.370334,34.748955
halophilic eubacterium NRCC 41227,27,cellular organisms; Bacteria; unclassified Bacteria; halophilic eubacterium NRCC 41227,5242,1.845157,27.049899
Coccidioides immitis,5501,cellular organisms; Eukaryota; Opisthokonta; Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; Eurotiomycetes; Eurotiomycetidae; Onygenales; Onygenaceae; Coccidioides; Coccidioides immitis,3992,1.405164,20.599618
Escherichia coli,562,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli,844,0.297084,4.35523
Vibrio cholerae,666,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio; Vibrio cholerae,697,0.24534,3.596677
Acinetobacter baumannii,470,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex; Acinetobacter baumannii,296,0.10419,1.527427
Pseudomonas aeruginosa,287,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa,238,0.083775,1.228134
Enterobacter cloacae,550,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex; Enterobacter cloacae,237,0.083423,1.222973
Salmonella enterica,28901,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica,219,0.077087,1.130089
Listeria monocytogenes,1639,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Listeriaceae; Listeria; Listeria monocytogenes,115,0.040479,0.593426
Mycobacterium tuberculosis,1773,cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae; Mycobacterium; Mycobacterium tuberculosis complex; Mycobacterium tuberculosis,93,0.032736,0.479901
Moraxella catarrhalis,480,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Moraxella; Moraxella catarrhalis,85,0.02992,0.438619
Staphylococcus aureus,1280,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; Staphylococcus aureus,74,0.026048,0.381857
Clostridium tetani,1513,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium; Clostridium tetani,70,0.02464,0.361216
Haemophilus influenzae,727,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Haemophilus; Haemophilus influenzae,61,0.021472,0.314774
Helicobacter pylori,210,cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter; Helicobacter pylori,51,0.017952,0.263171
root,1,,38,0.013376,0.196089
Streptococcus pneumoniae,1313,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus pneumoniae,37,0.013024,0.190928
Unknown (taxid 3),3,taxid_3,25,0.0088,0.129006
Unknown (taxid 4),4,taxid_4,24,0.008448,0.123845
Bacteria,2,cellular organisms; Bacteria,20,0.00704,0.103204
Azorhizobium,6,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Xanthobacteraceae; Azorhizobium,15,0.00528,0.077403
Azorhizobium caulinodans,7,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Xanthobacteraceae; Azorhizobium; Azorhizobium caulinodans,12,0.004224,0.061923
Unknown (taxid 5),5,taxid_5,9,0.003168,0.046442
Unknown (taxid 8),8,taxid_8,6,0.002112,0.030961
Methylophilus,16,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Nitrosomonadales; Methylophilaceae; Methylophilus,4,0.001408,0.020641
Phenylobacterium,20,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Phenylobacterium,4,0.001408,0.020641
Giardia intestinalis,5741,cellular organisms; Eukaryota; Metamonada; Fornicata; Diplomonadida; Hexamitidae; Giardiinae; Giardia; Giardia intestinalis,3,0.001056,0.015481
Cellulomonas gilvus,11,cellular organisms; Bacteria; Terrabacteria group; Actinomycetota; Actinomycetes; Micrococcales; Cellulomonadaceae; Cellulomonas; Cellulomonas gilvus,3,0.001056,0.015481
Buchnera aphidicola,9,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Erwiniaceae; Buchnera; Buchnera aphidicola,3,0.001056,0.015481
Pelobacter,18,cellular organisms; Bacteria; Thermodesulfobacteriota; Desulfuromonadia; Desulfuromonadales; Desulfuromonadaceae; Pelobacter,3,0.001056,0.015481
