Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
SRR7497167.1,6920,0.00101538,5833,7,NA,0,1
SRR7497167.2,4165,0,NA,0,NA,0,0
SRR7497167.3,7632,0,NA,0,NA,0,0
SRR7497167.4,683,0,NA,0,NA,0,0
SRR7497167.5,813,0,NA,0,NA,0,0
SRR7497167.6,4127,0,NA,0,NA,0,0
SRR7497167.7,10201,0,NA,0,NA,0,0
SRR7497167.8,3075,0,NA,0,NA,0,0
SRR7497167.9,2806,0,NA,0,NA,0,0
SRR7497167.10,3206,0,NA,0,NA,0,0
SRR7497167.11,6425,0,NA,0,NA,0,0
SRR7497167.12,2722,0,NA,0,NA,0,0
SRR7497167.13,5049,0,NA,0,NA,0,0
SRR7497167.14,3242,0.00124378,5833,4,NA,0,1
SRR7497167.15,434,0,NA,0,NA,0,0
SRR7497167.16,1374,0,NA,0,NA,0,0
SRR7497167.17,6983,0,NA,0,NA,0,0
SRR7497167.18,6603,0,NA,0,NA,0,0
SRR7497167.19,2281,0,NA,0,NA,0,0
SRR7497167.20,7030,0,NA,0,NA,0,0
SRR7497167.21,16314,0,NA,0,NA,0,0
SRR7497167.22,7051,0,NA,0,NA,0,0
SRR7497167.23,6456,0,NA,0,NA,0,0
SRR7497167.24,2267,0,NA,0,NA,0,0
SRR7497167.25,4205,0,NA,0,NA,0,0
SRR7497167.26,946,0,NA,0,NA,0,0
SRR7497167.27,2848,0,NA,0,NA,0,0
SRR7497167.28,743,0,NA,0,NA,0,0
SRR7497167.29,1836,0,NA,0,NA,0,0
SRR7497167.30,597,0,NA,0,NA,0,0
SRR7497167.31,804,0,NA,0,NA,0,0
SRR7497167.32,7217,0.0011125,5833,8,NA,0,1
SRR7497167.33,7179,0,NA,0,NA,0,0
SRR7497167.34,2152,0,NA,0,NA,0,0
SRR7497167.35,1469,0,NA,0,NA,0,0
SRR7497167.36,829,0,NA,0,NA,0,0
SRR7497167.37,1422,0,NA,0,NA,0,0
SRR7497167.38,3162,0,NA,0,NA,0,0
SRR7497167.39,2620,0,NA,0,NA,0,0
SRR7497167.40,2284,0,NA,0,NA,0,0
SRR7497167.41,3098,0,NA,0,NA,0,0
SRR7497167.42,4214,0,NA,0,NA,0,0
SRR7497167.43,2817,0,NA,0,NA,0,0
SRR7497167.44,3331,0,NA,0,NA,0,0
SRR7497167.45,8040,0,NA,0,NA,0,0
SRR7497167.46,5070,0,NA,0,NA,0,0
SRR7497167.47,3813,0,NA,0,NA,0,0
SRR7497167.48,1104,0,NA,0,NA,0,0
SRR7497167.49,1771,0.00114613,5833,2,NA,0,1
SRR7497167.50,1518,0,NA,0,NA,0,0
SRR7497167.51,1378,0,NA,0,NA,0,0
SRR7497167.52,1319,0,NA,0,NA,0,0
SRR7497167.53,7840,0,NA,0,NA,0,0
SRR7497167.54,1025,0,NA,0,NA,0,0
SRR7497167.55,2676,0,NA,0,NA,0,0
SRR7497167.56,450,0,NA,0,NA,0,0
SRR7497167.57,3140,0,NA,0,NA,0,0
SRR7497167.58,2527,0,NA,0,NA,0,0
SRR7497167.59,10346,0,NA,0,NA,0,0
SRR7497167.60,6169,0,NA,0,NA,0,0
SRR7497167.61,1356,0,NA,0,NA,0,0
SRR7497167.62,5148,0,NA,0,NA,0,0
SRR7497167.63,1211,0,NA,0,NA,0,0
SRR7497167.64,4536,0,NA,0,NA,0,0
SRR7497167.65,551,0,NA,0,NA,0,0
SRR7497167.66,3801,0,NA,0,NA,0,0
SRR7497167.67,3417,0,NA,0,NA,0,0
SRR7497167.68,855,0,NA,0,NA,0,0
SRR7497167.69,5831,0,NA,0,NA,0,0
SRR7497167.70,6236,0,NA,0,NA,0,0
SRR7497167.71,5355,0,NA,0,NA,0,0
SRR7497167.72,3241,0,NA,0,NA,0,0
SRR7497167.73,6180,0,NA,0,NA,0,0
SRR7497167.74,3708,0,NA,0,NA,0,0
SRR7497167.75,9884,0,NA,0,NA,0,0
SRR7497167.76,2857,0,NA,0,NA,0,0
SRR7497167.77,6906,0,NA,0,NA,0,0
SRR7497167.78,3502,0,NA,0,NA,0,0
SRR7497167.79,665,0,NA,0,NA,0,0
SRR7497167.80,1913,0,NA,0,NA,0,0
SRR7497167.81,1246,0,NA,0,NA,0,0
SRR7497167.82,6028,0,NA,0,NA,0,0
SRR7497167.83,8077,0,NA,0,NA,0,0
SRR7497167.84,10908,0,NA,0,NA,0,0
SRR7497167.85,2101,0,NA,0,NA,0,0
SRR7497167.86,1012,0,NA,0,NA,0,0
SRR7497167.87,1386,0,NA,0,NA,0,0
SRR7497167.88,1328,0,NA,0,NA,0,0
SRR7497167.89,1162,0,NA,0,NA,0,0
SRR7497167.90,1124,0,NA,0,NA,0,0
SRR7497167.91,6051,0,NA,0,NA,0,0
SRR7497167.92,3620,0,NA,0,NA,0,0
SRR7497167.93,2824,0.0121515,5501,34,NA,0,1
SRR7497167.94,1715,0,NA,0,NA,0,0
SRR7497167.95,5765,0.000174246,1313,1,NA,0,1
SRR7497167.96,4338,0,NA,0,NA,0,0
SRR7497167.97,1656,0,NA,0,NA,0,0
SRR7497167.98,7032,0,NA,0,NA,0,0
SRR7497167.99,3179,0,NA,0,NA,0,0
SRR7497167.100,703,0,NA,0,NA,0,0
SRR7497167.101,8349,0,NA,0,NA,0,0
SRR7497167.102,7038,0,NA,0,NA,0,0
SRR7497167.103,5811,0,NA,0,NA,0,0
SRR7497167.104,6886,0,NA,0,NA,0,0
SRR7497167.105,3018,0,NA,0,NA,0,0
SRR7497167.106,8264,0,NA,0,NA,0,0
SRR7497167.107,2185,0,NA,0,NA,0,0
SRR7497167.108,9140,0,NA,0,NA,0,0
SRR7497167.109,1022,0,NA,0,NA,0,0
SRR7497167.110,1500,0,NA,0,NA,0,0
SRR7497167.111,2997,0,NA,0,NA,0,0
SRR7497167.112,8274,0.000484966,5833,4,NA,0,1
SRR7497167.113,8756,0,NA,0,NA,0,0
SRR7497167.114,7605,0,NA,0,NA,0,0
SRR7497167.115,4503,0,NA,0,NA,0,0
SRR7497167.116,2332,0,NA,0,NA,0,0
SRR7497167.117,2299,0,NA,0,NA,0,0
SRR7497167.118,652,0,NA,0,NA,0,0
SRR7497167.119,2767,0,NA,0,NA,0,0
SRR7497167.120,662,0,NA,0,NA,0,0
SRR7497167.121,2990,0,NA,0,NA,0,0
SRR7497167.122,440,0,NA,0,NA,0,0
SRR7497167.123,1285,0,NA,0,NA,0,0
SRR7497167.124,5281,0,NA,0,NA,0,0
SRR7497167.125,2944,0,NA,0,NA,0,0
SRR7497167.126,9223,0,NA,0,NA,0,0
SRR7497167.127,5314,0,NA,0,NA,0,0
SRR7497167.128,717,0,NA,0,NA,0,0
SRR7497167.129,4170,0,NA,0,NA,0,0
SRR7497167.130,933,0,NA,0,NA,0,0
SRR7497167.131,4393,0.00022899,470,1,NA,0,1
SRR7497167.132,6048,0,NA,0,NA,0,0
SRR7497167.133,3397,0,NA,0,NA,0,0
SRR7497167.134,5886,0,NA,0,NA,0,0
SRR7497167.135,824,0,NA,0,NA,0,0
SRR7497167.136,5078,0.000395883,5833,2,NA,0,1
SRR7497167.137,2920,0,NA,0,NA,0,0
SRR7497167.138,1004,0,NA,0,NA,0,0
SRR7497167.139,7601,0,NA,0,NA,0,0
SRR7497167.140,2648,0,NA,0,NA,0,0
SRR7497167.141,8160,0,NA,0,NA,0,0
SRR7497167.142,7955,0,NA,0,NA,0,0
SRR7497167.143,10062,0,NA,0,NA,0,0
SRR7497167.144,3083,0,NA,0,NA,0,0
SRR7497167.145,4083,0,NA,0,NA,0,0
SRR7497167.146,2115,0,NA,0,NA,0,0
SRR7497167.147,10265,0,NA,0,NA,0,0
SRR7497167.148,3396,0,NA,0,NA,0,0
SRR7497167.149,2838,0.00106686,480,1,1513,1,0.5
SRR7497167.150,3332,0,NA,0,NA,0,0
SRR7497167.151,4832,0,NA,0,NA,0,0
SRR7497167.152,6879,0,NA,0,NA,0,0
SRR7497167.153,9547,0,NA,0,NA,0,0
SRR7497167.154,1649,0,NA,0,NA,0,0
SRR7497167.155,5977,0,NA,0,NA,0,0
SRR7497167.156,2946,0,NA,0,NA,0,0
SRR7497167.157,1643,0,NA,0,NA,0,0
SRR7497167.158,848,0,NA,0,NA,0,0
SRR7497167.159,4317,0,NA,0,NA,0,0
SRR7497167.160,4641,0,NA,0,NA,0,0
SRR7497167.161,704,0,NA,0,NA,0,0
SRR7497167.162,416,0,NA,0,NA,0,0
SRR7497167.163,4389,0,NA,0,NA,0,0
SRR7497167.164,3198,0,NA,0,NA,0,0
SRR7497167.165,1674,0,NA,0,NA,0,0
SRR7497167.166,1623,0,NA,0,NA,0,0
SRR7497167.167,2752,0,NA,0,NA,0,0
SRR7497167.168,1469,0,NA,0,NA,0,0
SRR7497167.169,4012,0,NA,0,NA,0,0
SRR7497167.170,976,0,NA,0,NA,0,0
SRR7497167.171,2168,0,NA,0,NA,0,0
SRR7497167.172,891,0,NA,0,NA,0,0
SRR7497167.173,8273,0,NA,0,NA,0,0
SRR7497167.174,2726,0.017037,5501,46,NA,0,1
SRR7497167.175,9017,0.000111222,5501,1,NA,0,1
SRR7497167.176,10621,0,NA,0,NA,0,0
SRR7497167.177,681,0,NA,0,NA,0,0
SRR7497167.178,896,0,NA,0,NA,0,0
SRR7497167.179,1772,0,NA,0,NA,0,0
SRR7497167.180,728,0,NA,0,NA,0,0
SRR7497167.181,5906,0,NA,0,NA,0,0
SRR7497167.182,8385,0,NA,0,NA,0,0
SRR7497167.183,5483,0.00439802,5501,24,NA,0,1
SRR7497167.184,2107,0,NA,0,NA,0,0
SRR7497167.185,4226,0,NA,0,NA,0,0
SRR7497167.186,2427,0,NA,0,NA,0,0
SRR7497167.187,5996,0,NA,0,NA,0,0
SRR7497167.188,5052,0,NA,0,NA,0,0
SRR7497167.189,4279,0,NA,0,NA,0,0
SRR7497167.190,4770,0,NA,0,NA,0,0
SRR7497167.191,2068,0,NA,0,NA,0,0
SRR7497167.192,1590,0,NA,0,NA,0,0
SRR7497167.193,1851,0,NA,0,NA,0,0
SRR7497167.194,2251,0,NA,0,NA,0,0
SRR7497167.195,2904,0,NA,0,NA,0,0
SRR7497167.196,3298,0,NA,0,NA,0,0
SRR7497167.197,3360,0,NA,0,NA,0,0
SRR7497167.198,5946,0,NA,0,NA,0,0
SRR7497167.199,2223,0,NA,0,NA,0,0
SRR7497167.200,561,0,NA,0,NA,0,0
SRR7497167.201,739,0,NA,0,NA,0,0
SRR7497167.202,4292,0,NA,0,NA,0,0
SRR7497167.203,2399,0,NA,0,NA,0,0
SRR7497167.204,832,0,NA,0,NA,0,0
SRR7497167.205,2044,0,NA,0,NA,0,0
SRR7497167.206,701,0,NA,0,NA,0,0
SRR7497167.207,7094,0,NA,0,NA,0,0
SRR7497167.208,2457,0,NA,0,NA,0,0
SRR7497167.209,6830,0,NA,0,NA,0,0
SRR7497167.210,10697,9.37119e-05,5833,1,NA,0,1
SRR7497167.211,3752,0.000268384,5501,1,NA,0,1
SRR7497167.212,4701,0,NA,0,NA,0,0
SRR7497167.213,1478,0,NA,0,NA,0,0
SRR7497167.214,7911,0,NA,0,NA,0,0
SRR7497167.215,5070,0,NA,0,NA,0,0
SRR7497167.216,704,0,NA,0,NA,0,0
