Object_ID, Length, Assignment
SRR7497167.1,6920,5833
SRR7497167.2,4165,NA
SRR7497167.3,7632,NA
SRR7497167.4,683,NA
SRR7497167.5,813,NA
SRR7497167.6,4127,NA
SRR7497167.7,10201,NA
SRR7497167.8,3075,NA
SRR7497167.9,2806,NA
SRR7497167.10,3206,NA
SRR7497167.11,6425,NA
SRR7497167.12,2722,NA
SRR7497167.13,5049,NA
SRR7497167.14,3242,5833
SRR7497167.15,434,NA
SRR7497167.16,1374,NA
SRR7497167.17,6983,NA
SRR7497167.18,6603,NA
SRR7497167.19,2281,NA
SRR7497167.20,7030,NA
SRR7497167.21,16314,NA
SRR7497167.22,7051,NA
SRR7497167.23,6456,NA
SRR7497167.24,2267,NA
SRR7497167.25,4205,NA
SRR7497167.26,946,NA
SRR7497167.27,2848,NA
SRR7497167.28,743,NA
SRR7497167.29,1836,NA
SRR7497167.30,597,NA
SRR7497167.31,804,NA
SRR7497167.32,7217,5833
SRR7497167.33,7179,NA
SRR7497167.34,2152,NA
SRR7497167.35,1469,NA
SRR7497167.36,829,NA
SRR7497167.37,1422,NA
SRR7497167.38,3162,NA
SRR7497167.39,2620,NA
SRR7497167.40,2284,NA
SRR7497167.41,3098,NA
SRR7497167.42,4214,NA
SRR7497167.43,2817,NA
SRR7497167.44,3331,NA
SRR7497167.45,8040,NA
SRR7497167.46,5070,NA
SRR7497167.47,3813,NA
SRR7497167.48,1104,NA
SRR7497167.49,1771,5833
SRR7497167.50,1518,NA
SRR7497167.51,1378,NA
SRR7497167.52,1319,NA
SRR7497167.53,7840,NA
SRR7497167.54,1025,NA
SRR7497167.55,2676,NA
SRR7497167.56,450,NA
SRR7497167.57,3140,NA
SRR7497167.58,2527,NA
SRR7497167.59,10346,NA
SRR7497167.60,6169,NA
SRR7497167.61,1356,NA
SRR7497167.62,5148,NA
SRR7497167.63,1211,NA
SRR7497167.64,4536,NA
SRR7497167.65,551,NA
SRR7497167.66,3801,NA
SRR7497167.67,3417,NA
SRR7497167.68,855,NA
SRR7497167.69,5831,NA
SRR7497167.70,6236,NA
SRR7497167.71,5355,NA
SRR7497167.72,3241,NA
SRR7497167.73,6180,NA
SRR7497167.74,3708,NA
SRR7497167.75,9884,NA
SRR7497167.76,2857,NA
SRR7497167.77,6906,NA
SRR7497167.78,3502,NA
SRR7497167.79,665,NA
SRR7497167.80,1913,NA
SRR7497167.81,1246,NA
SRR7497167.82,6028,NA
SRR7497167.83,8077,NA
SRR7497167.84,10908,NA
SRR7497167.85,2101,NA
SRR7497167.86,1012,NA
SRR7497167.87,1386,NA
SRR7497167.88,1328,NA
SRR7497167.89,1162,NA
SRR7497167.90,1124,NA
SRR7497167.91,6051,NA
SRR7497167.92,3620,NA
SRR7497167.93,2824,5501
SRR7497167.94,1715,NA
SRR7497167.95,5765,1313
SRR7497167.96,4338,NA
SRR7497167.97,1656,NA
SRR7497167.98,7032,NA
SRR7497167.99,3179,NA
SRR7497167.100,703,NA
SRR7497167.101,8349,NA
SRR7497167.102,7038,NA
SRR7497167.103,5811,NA
SRR7497167.104,6886,NA
SRR7497167.105,3018,NA
SRR7497167.106,8264,NA
SRR7497167.107,2185,NA
SRR7497167.108,9140,NA
SRR7497167.109,1022,NA
SRR7497167.110,1500,NA
SRR7497167.111,2997,NA
SRR7497167.112,8274,5833
SRR7497167.113,8756,NA
SRR7497167.114,7605,NA
SRR7497167.115,4503,NA
SRR7497167.116,2332,NA
SRR7497167.117,2299,NA
SRR7497167.118,652,NA
SRR7497167.119,2767,NA
SRR7497167.120,662,NA
SRR7497167.121,2990,NA
SRR7497167.122,440,NA
SRR7497167.123,1285,NA
SRR7497167.124,5281,NA
SRR7497167.125,2944,NA
SRR7497167.126,9223,NA
SRR7497167.127,5314,NA
SRR7497167.128,717,NA
SRR7497167.129,4170,NA
SRR7497167.130,933,NA
SRR7497167.131,4393,470
SRR7497167.132,6048,NA
SRR7497167.133,3397,NA
SRR7497167.134,5886,NA
SRR7497167.135,824,NA
SRR7497167.136,5078,5833
SRR7497167.137,2920,NA
SRR7497167.138,1004,NA
SRR7497167.139,7601,NA
SRR7497167.140,2648,NA
SRR7497167.141,8160,NA
SRR7497167.142,7955,NA
SRR7497167.143,10062,NA
SRR7497167.144,3083,NA
SRR7497167.145,4083,NA
SRR7497167.146,2115,NA
SRR7497167.147,10265,NA
SRR7497167.148,3396,NA
SRR7497167.149,2838,480
SRR7497167.150,3332,NA
SRR7497167.151,4832,NA
SRR7497167.152,6879,NA
SRR7497167.153,9547,NA
SRR7497167.154,1649,NA
SRR7497167.155,5977,NA
SRR7497167.156,2946,NA
SRR7497167.157,1643,NA
SRR7497167.158,848,NA
SRR7497167.159,4317,NA
SRR7497167.160,4641,NA
SRR7497167.161,704,NA
SRR7497167.162,416,NA
SRR7497167.163,4389,NA
SRR7497167.164,3198,NA
SRR7497167.165,1674,NA
SRR7497167.166,1623,NA
SRR7497167.167,2752,NA
SRR7497167.168,1469,NA
SRR7497167.169,4012,NA
SRR7497167.170,976,NA
SRR7497167.171,2168,NA
SRR7497167.172,891,NA
SRR7497167.173,8273,NA
SRR7497167.174,2726,5501
SRR7497167.175,9017,5501
SRR7497167.176,10621,NA
SRR7497167.177,681,NA
SRR7497167.178,896,NA
SRR7497167.179,1772,NA
SRR7497167.180,728,NA
SRR7497167.181,5906,NA
SRR7497167.182,8385,NA
SRR7497167.183,5483,5501
SRR7497167.184,2107,NA
SRR7497167.185,4226,NA
SRR7497167.186,2427,NA
SRR7497167.187,5996,NA
SRR7497167.188,5052,NA
SRR7497167.189,4279,NA
SRR7497167.190,4770,NA
SRR7497167.191,2068,NA
SRR7497167.192,1590,NA
SRR7497167.193,1851,NA
SRR7497167.194,2251,NA
SRR7497167.195,2904,NA
SRR7497167.196,3298,NA
SRR7497167.197,3360,NA
SRR7497167.198,5946,NA
SRR7497167.199,2223,NA
SRR7497167.200,561,NA
SRR7497167.201,739,NA
SRR7497167.202,4292,NA
SRR7497167.203,2399,NA
SRR7497167.204,832,NA
SRR7497167.205,2044,NA
SRR7497167.206,701,NA
SRR7497167.207,7094,NA
SRR7497167.208,2457,NA
SRR7497167.209,6830,NA
SRR7497167.210,10697,5833
SRR7497167.211,3752,5501
SRR7497167.212,4701,NA
SRR7497167.213,1478,NA
SRR7497167.214,7911,NA
SRR7497167.215,5070,NA
SRR7497167.216,704,NA
SRR7497167.217,785,NA
SRR7497167.218,4148,NA
SRR7497167.219,6613,NA
SRR7497167.220,4980,NA
SRR7497167.221,1271,NA
SRR7497167.222,4510,NA
SRR7497167.223,5875,NA
SRR7497167.224,693,NA
SRR7497167.225,4375,NA
SRR7497167.226,2348,NA
SRR7497167.227,2274,NA
SRR7497167.228,2248,NA
SRR7497167.229,964,NA
SRR7497167.230,1136,NA
SRR7497167.231,7227,NA
SRR7497167.232,4429,NA
SRR7497167.233,1072,NA
SRR7497167.234,7321,NA
SRR7497167.235,284,NA
SRR7497167.236,774,NA
SRR7497167.237,4614,NA
SRR7497167.238,2402,NA
SRR7497167.239,2649,NA
SRR7497167.240,5017,NA
SRR7497167.241,566,NA
SRR7497167.242,7248,NA
SRR7497167.243,9219,5833
SRR7497167.244,2961,NA
SRR7497167.245,6274,1313
SRR7497167.246,8722,NA
SRR7497167.247,1121,NA
SRR7497167.248,1892,NA
SRR7497167.249,1536,NA
SRR7497167.250,2592,NA
SRR7497167.251,9118,NA
SRR7497167.252,4155,NA
SRR7497167.253,7097,NA
SRR7497167.254,1878,NA
SRR7497167.255,2161,NA
SRR7497167.256,3645,NA
SRR7497167.257,1060,NA
SRR7497167.258,572,NA
SRR7497167.259,3190,1513
SRR7497167.260,9759,NA
SRR7497167.261,6216,NA
SRR7497167.262,10362,NA
SRR7497167.263,3770,NA
SRR7497167.264,10423,NA
SRR7497167.265,7641,NA
SRR7497167.266,2890,NA
SRR7497167.267,518,NA
SRR7497167.268,2767,NA
SRR7497167.269,2365,NA
SRR7497167.270,1605,666
SRR7497167.271,3690,NA
SRR7497167.272,6692,NA
SRR7497167.273,4351,NA
SRR7497167.274,5772,NA
SRR7497167.275,3045,NA
SRR7497167.276,1453,NA
SRR7497167.277,1345,5501
SRR7497167.278,2962,NA
SRR7497167.279,1978,NA
SRR7497167.280,3244,NA
SRR7497167.281,1176,NA
SRR7497167.282,1669,NA
SRR7497167.283,12235,NA
SRR7497167.284,1336,NA
SRR7497167.285,434,NA
SRR7497167.286,1056,NA
SRR7497167.287,5409,NA
SRR7497167.288,1163,NA
SRR7497167.289,445,NA
SRR7497167.290,2403,NA
SRR7497167.291,3722,NA
SRR7497167.292,3170,NA
SRR7497167.293,6689,NA
SRR7497167.294,8933,NA
SRR7497167.295,518,NA
SRR7497167.296,3735,NA
SRR7497167.297,5664,NA
SRR7497167.298,2664,NA
SRR7497167.299,942,NA
SRR7497167.300,847,NA
SRR7497167.301,540,NA
SRR7497167.302,7308,NA
SRR7497167.303,2799,NA
SRR7497167.304,3717,NA
SRR7497167.305,642,NA
SRR7497167.306,8476,5833
SRR7497167.307,5023,NA
SRR7497167.308,629,NA
SRR7497167.309,1304,NA
SRR7497167.310,7711,NA
SRR7497167.311,7349,NA
SRR7497167.312,2491,NA
SRR7497167.313,2105,NA
SRR7497167.314,11598,NA
SRR7497167.315,1397,NA
SRR7497167.316,10262,NA
SRR7497167.317,3199,NA
SRR7497167.318,466,NA
SRR7497167.319,1706,NA
SRR7497167.320,845,NA
SRR7497167.321,14294,NA
SRR7497167.322,5248,NA
SRR7497167.323,1886,NA
SRR7497167.324,1482,NA
SRR7497167.325,11002,NA
SRR7497167.326,10144,5833
SRR7497167.327,652,NA
SRR7497167.328,2707,NA
SRR7497167.329,1904,NA
SRR7497167.330,505,NA
SRR7497167.331,732,NA
SRR7497167.332,7460,NA
SRR7497167.333,1120,NA
SRR7497167.334,5143,NA
SRR7497167.335,3968,NA
SRR7497167.336,19825,NA
SRR7497167.337,1306,NA
SRR7497167.338,1143,NA
SRR7497167.339,6012,NA
SRR7497167.340,1519,NA
SRR7497167.341,8649,NA
SRR7497167.342,1777,NA
SRR7497167.343,7295,NA
SRR7497167.344,2598,NA
SRR7497167.345,2234,NA
SRR7497167.346,2486,NA
SRR7497167.347,1371,NA
SRR7497167.348,7964,NA
