Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Acetivibrio thermocellus,1515,cellular organisms;Bacillota;Clostridia;Acetivibrionales;Acetivibrionaceae;Acetivibrio,113,0.00687009,0.0426831
Acinetobacter baumannii,470,cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter,17,0.00103355,0.00642135
Acinetobacter venetianus,52133,cellular organisms;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter,49,0.00297907,0.0185086
Actibacterium sp.,1872125,cellular organisms;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Roseobacteraceae;Actibacterium,279,0.0169624,0.105386
Actinoalloteichus hymeniacidonis,340345,cellular organisms;Actinomycetota;;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus,6,0.000364784,0.00226636
Actinoalloteichus sp.,1872128,cellular organisms;Actinomycetota;;Pseudonocardiales;Pseudonocardiaceae;Actinoalloteichus,20,0.00121595,0.00755452
Actinomycetes,1760,cellular organisms;Actinomycetota;;;;,812,0.0493674,0.306714
Aeromonas salmonicida,645,cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,926,0.0562983,0.349774
Aeromonas salmonicida subsp. salmonicida,29491,cellular organisms;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,938,0.0570278,0.354307
Aeropyrum camini,229980,cellular organisms;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum,8,0.000486378,0.00302181
Aeropyrum pernix,56636,cellular organisms;Thermoproteota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum,6,0.000364784,0.00226636
Agarivorans gilvus,680279,cellular organisms;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Agarivorans,65,0.00395182,0.0245522
Agrococcus jejuensis,399736,cellular organisms;Actinomycetota;;Micrococcales;Microbacteriaceae;Agrococcus,40,0.00243189,0.015109
Alcanivorax borkumensis,59754,cellular organisms;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Alcanivoracaceae;Alcanivorax,4,0.000243189,0.0015109
Algibacter sp.,1872428,cellular organisms;Bacteroidota;Flavobacteriia;Flavobacteriales;;Algibacter,293,0.0178136,0.110674
Aliivibrio,511678,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;,6632,0.403207,2.50508
Aliivibrio fischeri,668,cellular organisms;Pseudomonadota;Gammaproteobacteria;Vibrionales;Vibrionaceae;,383,0.0232854,0.144669
